reference_date,location,age_group,confirm,holiday
2021-04-06,DE,00+,709,FALSE
2021-04-06,DE,00-04,11,FALSE
2021-04-06,DE,05-14,5,FALSE
2021-04-06,DE,15-34,75,FALSE
2021-04-06,DE,35-59,192,FALSE
2021-04-06,DE,60-79,274,FALSE
2021-04-06,DE,80+,152,FALSE
2021-04-06,DE-BB,00+,19,FALSE
2021-04-06,DE-BB,00-04,0,FALSE
2021-04-06,DE-BB,05-14,0,FALSE
2021-04-06,DE-BB,15-34,1,FALSE
2021-04-06,DE-BB,35-59,3,FALSE
2021-04-06,DE-BB,60-79,8,FALSE
2021-04-06,DE-BB,80+,7,FALSE
2021-04-06,DE-BE,00+,35,FALSE
2021-04-06,DE-BE,00-04,1,FALSE
2021-04-06,DE-BE,05-14,0,FALSE
2021-04-06,DE-BE,15-34,7,FALSE
2021-04-06,DE-BE,35-59,12,FALSE
2021-04-06,DE-BE,60-79,9,FALSE
2021-04-06,DE-BE,80+,6,FALSE
2021-04-06,DE-BW,00+,62,FALSE
2021-04-06,DE-BW,00-04,0,FALSE
2021-04-06,DE-BW,05-14,0,FALSE
2021-04-06,DE-BW,15-34,8,FALSE
2021-04-06,DE-BW,35-59,17,FALSE
2021-04-06,DE-BW,60-79,21,FALSE
2021-04-06,DE-BW,80+,16,FALSE
2021-04-06,DE-BY,00+,77,FALSE
2021-04-06,DE-BY,00-04,1,FALSE
2021-04-06,DE-BY,05-14,1,FALSE
2021-04-06,DE-BY,15-34,10,FALSE
2021-04-06,DE-BY,35-59,14,FALSE
2021-04-06,DE-BY,60-79,33,FALSE
2021-04-06,DE-BY,80+,18,FALSE
2021-04-06,DE-HB,00+,8,FALSE
2021-04-06,DE-HB,00-04,0,FALSE
2021-04-06,DE-HB,05-14,0,FALSE
2021-04-06,DE-HB,15-34,1,FALSE
2021-04-06,DE-HB,35-59,3,FALSE
2021-04-06,DE-HB,60-79,4,FALSE
2021-04-06,DE-HB,80+,0,FALSE
2021-04-06,DE-HE,00+,72,FALSE
2021-04-06,DE-HE,00-04,1,FALSE
2021-04-06,DE-HE,05-14,2,FALSE
2021-04-06,DE-HE,15-34,9,FALSE
2021-04-06,DE-HE,35-59,27,FALSE
2021-04-06,DE-HE,60-79,23,FALSE
2021-04-06,DE-HE,80+,10,FALSE
2021-04-06,DE-HH,00+,21,FALSE
2021-04-06,DE-HH,00-04,1,FALSE
2021-04-06,DE-HH,05-14,0,FALSE
2021-04-06,DE-HH,15-34,4,FALSE
2021-04-06,DE-HH,35-59,10,FALSE
2021-04-06,DE-HH,60-79,6,FALSE
2021-04-06,DE-HH,80+,0,FALSE
2021-04-06,DE-MV,00+,19,FALSE
2021-04-06,DE-MV,00-04,0,FALSE
2021-04-06,DE-MV,05-14,0,FALSE
2021-04-06,DE-MV,15-34,1,FALSE
2021-04-06,DE-MV,35-59,1,FALSE
2021-04-06,DE-MV,60-79,16,FALSE
2021-04-06,DE-MV,80+,1,FALSE
2021-04-06,DE-NI,00+,40,FALSE
2021-04-06,DE-NI,00-04,1,FALSE
2021-04-06,DE-NI,05-14,0,FALSE
2021-04-06,DE-NI,15-34,5,FALSE
2021-04-06,DE-NI,35-59,5,FALSE
2021-04-06,DE-NI,60-79,22,FALSE
2021-04-06,DE-NI,80+,7,FALSE
2021-04-06,DE-NW,00+,182,FALSE
2021-04-06,DE-NW,00-04,5,FALSE
2021-04-06,DE-NW,05-14,0,FALSE
2021-04-06,DE-NW,15-34,20,FALSE
2021-04-06,DE-NW,35-59,52,FALSE
2021-04-06,DE-NW,60-79,69,FALSE
2021-04-06,DE-NW,80+,36,FALSE
2021-04-06,DE-RP,00+,25,FALSE
2021-04-06,DE-RP,00-04,0,FALSE
2021-04-06,DE-RP,05-14,0,FALSE
2021-04-06,DE-RP,15-34,3,FALSE
2021-04-06,DE-RP,35-59,11,FALSE
2021-04-06,DE-RP,60-79,5,FALSE
2021-04-06,DE-RP,80+,6,FALSE
2021-04-06,DE-SH,00+,15,FALSE
2021-04-06,DE-SH,00-04,0,FALSE
2021-04-06,DE-SH,05-14,0,FALSE
2021-04-06,DE-SH,15-34,0,FALSE
2021-04-06,DE-SH,35-59,6,FALSE
2021-04-06,DE-SH,60-79,5,FALSE
2021-04-06,DE-SH,80+,4,FALSE
2021-04-06,DE-SL,00+,3,FALSE
2021-04-06,DE-SL,00-04,0,FALSE
2021-04-06,DE-SL,05-14,0,FALSE
2021-04-06,DE-SL,15-34,0,FALSE
2021-04-06,DE-SL,35-59,1,FALSE
2021-04-06,DE-SL,60-79,2,FALSE
2021-04-06,DE-SL,80+,0,FALSE
2021-04-06,DE-SN,00+,65,FALSE
2021-04-06,DE-SN,00-04,1,FALSE
2021-04-06,DE-SN,05-14,1,FALSE
2021-04-06,DE-SN,15-34,3,FALSE
2021-04-06,DE-SN,35-59,12,FALSE
2021-04-06,DE-SN,60-79,27,FALSE
2021-04-06,DE-SN,80+,21,FALSE
2021-04-06,DE-ST,00+,24,FALSE
2021-04-06,DE-ST,00-04,0,FALSE
2021-04-06,DE-ST,05-14,0,FALSE
2021-04-06,DE-ST,15-34,2,FALSE
2021-04-06,DE-ST,35-59,7,FALSE
2021-04-06,DE-ST,60-79,8,FALSE
2021-04-06,DE-ST,80+,7,FALSE
2021-04-06,DE-TH,00+,42,FALSE
2021-04-06,DE-TH,00-04,0,FALSE
2021-04-06,DE-TH,05-14,1,FALSE
2021-04-06,DE-TH,15-34,1,FALSE
2021-04-06,DE-TH,35-59,11,FALSE
2021-04-06,DE-TH,60-79,16,FALSE
2021-04-06,DE-TH,80+,13,FALSE
2021-04-07,DE,00+,1127,FALSE
2021-04-07,DE,00-04,11,FALSE
2021-04-07,DE,05-14,5,FALSE
2021-04-07,DE,15-34,101,FALSE
2021-04-07,DE,35-59,306,FALSE
2021-04-07,DE,60-79,435,FALSE
2021-04-07,DE,80+,269,FALSE
2021-04-07,DE-BB,00+,29,FALSE
2021-04-07,DE-BB,00-04,0,FALSE
2021-04-07,DE-BB,05-14,0,FALSE
2021-04-07,DE-BB,15-34,1,FALSE
2021-04-07,DE-BB,35-59,7,FALSE
2021-04-07,DE-BB,60-79,11,FALSE
2021-04-07,DE-BB,80+,10,FALSE
2021-04-07,DE-BE,00+,57,FALSE
2021-04-07,DE-BE,00-04,0,FALSE
2021-04-07,DE-BE,05-14,0,FALSE
2021-04-07,DE-BE,15-34,5,FALSE
2021-04-07,DE-BE,35-59,14,FALSE
2021-04-07,DE-BE,60-79,20,FALSE
2021-04-07,DE-BE,80+,18,FALSE
2021-04-07,DE-BW,00+,136,FALSE
2021-04-07,DE-BW,00-04,0,FALSE
2021-04-07,DE-BW,05-14,0,FALSE
2021-04-07,DE-BW,15-34,20,FALSE
2021-04-07,DE-BW,35-59,36,FALSE
2021-04-07,DE-BW,60-79,47,FALSE
2021-04-07,DE-BW,80+,33,FALSE
2021-04-07,DE-BY,00+,175,FALSE
2021-04-07,DE-BY,00-04,3,FALSE
2021-04-07,DE-BY,05-14,1,FALSE
2021-04-07,DE-BY,15-34,15,FALSE
2021-04-07,DE-BY,35-59,53,FALSE
2021-04-07,DE-BY,60-79,65,FALSE
2021-04-07,DE-BY,80+,38,FALSE
2021-04-07,DE-HB,00+,8,FALSE
2021-04-07,DE-HB,00-04,0,FALSE
2021-04-07,DE-HB,05-14,0,FALSE
2021-04-07,DE-HB,15-34,3,FALSE
2021-04-07,DE-HB,35-59,4,FALSE
2021-04-07,DE-HB,60-79,0,FALSE
2021-04-07,DE-HB,80+,1,FALSE
2021-04-07,DE-HE,00+,117,FALSE
2021-04-07,DE-HE,00-04,2,FALSE
2021-04-07,DE-HE,05-14,0,FALSE
2021-04-07,DE-HE,15-34,8,FALSE
2021-04-07,DE-HE,35-59,41,FALSE
2021-04-07,DE-HE,60-79,48,FALSE
2021-04-07,DE-HE,80+,18,FALSE
2021-04-07,DE-HH,00+,22,FALSE
2021-04-07,DE-HH,00-04,0,FALSE
2021-04-07,DE-HH,05-14,0,FALSE
2021-04-07,DE-HH,15-34,2,FALSE
2021-04-07,DE-HH,35-59,11,FALSE
2021-04-07,DE-HH,60-79,4,FALSE
2021-04-07,DE-HH,80+,5,FALSE
2021-04-07,DE-MV,00+,16,FALSE
2021-04-07,DE-MV,00-04,0,FALSE
2021-04-07,DE-MV,05-14,0,FALSE
2021-04-07,DE-MV,15-34,1,FALSE
2021-04-07,DE-MV,35-59,3,FALSE
2021-04-07,DE-MV,60-79,10,FALSE
2021-04-07,DE-MV,80+,2,FALSE
2021-04-07,DE-NI,00+,65,FALSE
2021-04-07,DE-NI,00-04,0,FALSE
2021-04-07,DE-NI,05-14,0,FALSE
2021-04-07,DE-NI,15-34,7,FALSE
2021-04-07,DE-NI,35-59,21,FALSE
2021-04-07,DE-NI,60-79,16,FALSE
2021-04-07,DE-NI,80+,21,FALSE
2021-04-07,DE-NW,00+,227,FALSE
2021-04-07,DE-NW,00-04,2,FALSE
2021-04-07,DE-NW,05-14,2,FALSE
2021-04-07,DE-NW,15-34,22,FALSE
2021-04-07,DE-NW,35-59,57,FALSE
2021-04-07,DE-NW,60-79,90,FALSE
2021-04-07,DE-NW,80+,54,FALSE
2021-04-07,DE-RP,00+,41,FALSE
2021-04-07,DE-RP,00-04,0,FALSE
2021-04-07,DE-RP,05-14,0,FALSE
2021-04-07,DE-RP,15-34,7,FALSE
2021-04-07,DE-RP,35-59,9,FALSE
2021-04-07,DE-RP,60-79,14,FALSE
2021-04-07,DE-RP,80+,11,FALSE
2021-04-07,DE-SH,00+,25,FALSE
2021-04-07,DE-SH,00-04,0,FALSE
2021-04-07,DE-SH,05-14,0,FALSE
